carrier,AT,BE,CH,CZ,DE,DK,FR,GB,LU,NL,NO,PL,SE
CCGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OCGT,2.8192,4.5323,0.0,0.0,24.697119999660565,1.1032,6.116,29.872722432099998,0.0,9.1511,0.604,2.125,1.091
biomass,0.0,0.268,0.0860862,0.0,8.004647826000001,0.115,0.7703354499999999,6.725599999999998,0.0073895,0.0,0.0,0.0,0.0
coal,0.0,0.0,0.0,0.050706532610974575,8.15822012862753,2.0680851522099615,0.0,3.374263387069971,0.0,4.594994952358631,0.0,7.722406735117322,0.0
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lignite,0.0,0.0,0.0,0.8594343651254062,20.999170197286883,0.0,0.0,0.0,0.0,0.0,0.0,0.9903782276230539,0.0
load,1000000.0,1000000.0,1000000.0,1000000.0,6000000.0,2000000.0,1000000.0,2000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
nuclear,0.0,5.919,2.97,0.0,0.0,0.0,57.71,10.138,0.0,0.0,0.0,0.0,8.617
offwind-ac,0.0,0.585153544252,0.0,0.0,3.06004149337,1.06495,0.0,5.0756499999999996,0.0,0.0,0.0,4.880382629710001,0.25577500000000003
offwind-dc,0.0,0.0,0.0,0.0,0.257203999356,0.63585,0.0,4.61705,0.0,0.0,0.0,3.6683885743099998,0.025375
oil,0.0,0.1586,0.0,0.0,0.8563,0.0,0.254,0.0,0.0,0.0,0.0,0.050948452249435124,0.0
onwind,0.0,14.419226481399999,0.048923,0.0,85.7439425661,10.319587964365386,14.04329831,51.629564306821024,0.10805,41.7637875232,0.0,29.3165234046,13.25969
ror,4.8025,0.07987619657813644,4.075749999999999,0.0,2.77560335,0.0,6.6443491494216635,8.787,0.030899999999999997,0.0,0.8925,0.182400368779544,1.279
solar,22.309696579700002,23.7441294483843,0.60420737,62.44860658351862,225.89103770012545,0.5378014000000001,238.47024456163942,81.17360412797132,6.093402709022374,14.739124700103556,0.0,81.64242530323224,0.0
H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHS,5.057300000000001,1.308,5.089549999999999,0.0,7.59922,0.0,4.9763,0.44,2.585,0.0,0.2823,1.798,0.092
battery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro,3.6006199999999997,0.012782802547770691,9.724410000000002,0.0,0.2895,0.0,8.32949299363057,0.2283,0.0,0.0,28.416274200000004,0.14010191082802548,10.784186624932511
AC,11.44668172430684,22.0353246773202,11.69074623335779,4.640935498617463,211.94909040999593,3.39620522348,0.0,0.0,0.0,0.0,7.28396646615,0.0,0.0
DC,0.0,0.0,0.0,0.0,4.881563337918183,0.6,0.0,9.479077627436821,0.0,0.7,9.19419952462273,3.5477917738136138,0.55
