carrier,country,2013-01-01,2013-01-08,2013-01-15,2013-01-22,2013-01-29,2013-02-05,2013-02-12,2013-02-19,2013-02-26,2013-03-05,2013-03-12,2013-03-19,2013-03-26,2013-04-02,2013-04-09,2013-04-16,2013-04-23,2013-04-30,2013-05-07,2013-05-14,2013-05-21,2013-05-28,2013-06-04,2013-06-11,2013-06-18,2013-06-25,2013-07-02,2013-07-09,2013-07-16,2013-07-23,2013-07-30,2013-08-06,2013-08-13,2013-08-20,2013-08-27,2013-09-03,2013-09-10,2013-09-17,2013-09-24,2013-10-01,2013-10-08,2013-10-15,2013-10-22,2013-10-29,2013-11-05,2013-11-12,2013-11-19,2013-11-26,2013-12-03,2013-12-10,2013-12-17,2013-12-24,2013-12-31
OCGT,AT,0.0,2.8192,2.8192,2.8192,0.0,2.8192,2.8192,2.8192,2.8192,0.0,0.4191613953634221,0.0,1.0620579806601962,2.8192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8192,2.8192,2.8192,1.6243534415893786,2.8192,0.0,0.0,0.0
OCGT,BE,0.0,4.5323,4.5323,0.0,0.0,0.0,4.5323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5010045741933337,0.0,0.0,0.0,0.0,0.0,1.4161091065293898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OCGT,DE,10.950535102114587,22.8885365,22.8885365,22.8885365,0.0,22.8885365,22.8885365,22.8885365,22.8885365,2.7343362357918792,20.684836500000003,0.0,20.684836500000003,22.8885365,0.0,0.0,0.0,2.9643061467126324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9924308247876015,0.0,0.0,10.405360835531285,3.235,3.235,0.0,8.51327983423214,0.0,0.0,0.0,5.035527132954163,22.8885365,22.8885365,22.8885365,5.4387,22.8885365,0.0,0.0,0.0
OCGT,DK,0.603,1.1032,1.1032,0.603,0.603,1.1032,1.1032,1.1032,1.1032,0.603,1.1032,0.603,1.1032,1.1032,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.8626398109205995,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,1.1032,1.1032,1.1032,0.603,1.0178014832556108,0.603,0.603,0.603
OCGT,FR,0.0,6.116,6.116,6.116,0.0,6.116,6.116,6.116,6.116,0.0,6.116,0.0,6.116,6.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.116,6.116,6.116,0.0,6.116,0.0,0.0,0.0
OCGT,GB,0.0,17.43619204097018,9.9044199141242,0.06673156759702385,0.0,0.0,8.223562400297803,11.309157073938296,16.2213651056337,0.0,4.139217552981902,0.0,3.6332783027108015,1.2069372820449045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1794022643859055,0.0,0.0,0.0,0.0,0.17738132021149886,0.0,0.1951962954035753,0.0,0.0,0.0,0.14293218526790513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.378567397881858,0.601810487510888,0.0,0.0,0.0,0.0,0.0
OCGT,NL,0.0,9.1511,9.1511,9.1511,0.0,8.202918824063895,9.1511,6.774847280728058,9.1511,0.0,0.0,0.0,0.0,0.6389109215489095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.642379644363328,0.0,0.0,0.0,0.0,0.0,0.5193579323112485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1511,9.1511,7.049092170964173,0.0,0.0,0.0,0.0,0.0
OCGT,NO,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604
OCGT,PL,0.0,2.125,2.125,2.125,0.0,1.7661518132344334,2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12671024333016068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125,0.0,0.0,0.7102419557758849,0.0,0.0,0.0
OCGT,SE,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091
