carrier,country,2013-01-01,2013-01-08,2013-01-15,2013-01-22,2013-01-29,2013-02-05,2013-02-12,2013-02-19,2013-02-26,2013-03-05,2013-03-12,2013-03-19,2013-03-26,2013-04-02,2013-04-09,2013-04-16,2013-04-23,2013-04-30,2013-05-07,2013-05-14,2013-05-21,2013-05-28,2013-06-04,2013-06-11,2013-06-18,2013-06-25,2013-07-02,2013-07-09,2013-07-16,2013-07-23,2013-07-30,2013-08-06,2013-08-13,2013-08-20,2013-08-27,2013-09-03,2013-09-10,2013-09-17,2013-09-24,2013-10-01,2013-10-08,2013-10-15,2013-10-22,2013-10-29,2013-11-05,2013-11-12,2013-11-19,2013-11-26,2013-12-03,2013-12-10,2013-12-17,2013-12-24,2013-12-31
OCGT,AT,0.0,2.8192,2.8192,2.8192,0.0,2.8192,2.8192,2.8192,2.8192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8192,1.731459808230331,2.8192,2.8192,2.8192,2.8192,2.8192,2.8192,2.8192,2.8192,2.8192,2.8192,2.8192,2.8192,2.8192,2.8192,2.8192
OCGT,BE,0.0,4.5323,4.5323,0.0,0.0,0.0,4.5323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7575188041032335,1.4632456836205563,1.7725997550537491,1.0637783623416213,1.8221287752786564,1.382205003787079,2.4097296112054543,2.3492313020217224,2.438106084852012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9819017524311113,4.5323,4.5323,4.5323,4.5323,4.5323,4.5323,0.0,0.0
OCGT,DE,7.631802375456076,22.8885365,22.8885365,22.8885365,0.0,22.8885365,22.8885365,22.8885365,22.8885365,0.0,12.828370764043138,0.0,12.890315461867562,8.780509457837995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.386873322477667,6.801520911819105,16.810758999999997,16.810758999999997,16.810758999999997,22.8885365,21.598756916513466,20.684836500000003,20.684836500000003,22.8885365,22.8885365,22.8885365,22.8885365,22.8885365,22.8885365,22.8885365,22.8885365,22.8885365,22.8885365,22.8885365,22.8885365,22.8885365
OCGT,DK,0.0,0.5002,0.5002,0.5002,0.0,0.5002,0.5002,0.5002,0.5002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5002,0.5002,0.5002,0.5002,0.5002,0.48373555102149973,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5938810104781602,0.5387049223351903,0.54709483890053,0.5643010795127501,0.5002,0.5002,0.5002
OCGT,FR,0.0,6.116,6.116,6.116,0.0,6.116,6.116,6.116,6.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0387936314488562,1.9021226342921709,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116
OCGT,GB,0.0,16.34595260216808,8.881301289909771,0.0,0.0,0.0,7.666652011068904,10.674711393199296,15.403577148870692,0.0,3.6449354311068993,0.0,3.2606488788830976,0.7954407700856011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9127900415142061,0.0,0.0,0.0,0.0,4.8277487238316965,5.784683516028102,7.088950474328998,3.445092475817897,4.6490105121253995,4.594351572391902,7.041209658985,2.521524995844996,7.484860192126201,7.845854860824101,9.599158545483899,9.545069606324304,8.269988694364601,9.271021817592096,12.360045957396302,7.309350960755496,8.806489719857097,16.003174210519322,19.54235724275132,23.150883715098022,24.217693940290882,21.094779123982644,18.95358629297696,15.650066973219106,5.606786946807182,7.05106216770992
OCGT,NL,0.0,9.1511,9.1511,7.815810341790962,0.0,0.90283173086496,9.1511,3.0339713456313038,9.1511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.002749028595361,1.5110340078867557,8.593764711076892,5.0199380733428445,2.8871966578328117,4.639517622720461,4.461910951857848,3.6911842728911552,5.102279474806206,5.837475965546033,9.1511,7.156338477894969,5.729203484239517,9.1511,8.029493554577748,5.47957000947405,9.1511,9.1511,9.1511,9.1511,9.1511,9.1511,9.1511,9.1511,9.1511,4.178681446902369
OCGT,PL,0.0,2.125,2.125,2.125,0.0,0.11091273294277199,2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4934155166198457,0.35332647790438754,1.713615181447341,0.9566330077727777,0.24891014745362555,0.0,0.0,0.32907942090731057,0.0,2.125,1.289360198807126,2.125,2.125,1.864334677251967,2.125,0.0,1.0848460844397332,2.125,2.125,2.125,2.125,2.125,2.125,2.125,0.0,2.125
OCGT,SE,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091
biomass,BE,0.268,0.268,0.268,0.268,0.0,0.268,0.268,0.268,0.268,0.268,0.268,0.0,0.268,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268
biomass,CH,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0,0.0860862,0.0860862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862
biomass,DE,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,4.772909453202101,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,7.512368626695041,8.004647826000001,4.396178377138543,8.004647826000001,8.004647826000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792113915862422,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001
