carrier,country,2013-01-01,2013-01-08,2013-01-15,2013-01-22,2013-01-29,2013-02-05,2013-02-12,2013-02-19,2013-02-26,2013-03-05,2013-03-12,2013-03-19,2013-03-26,2013-04-02,2013-04-09,2013-04-16,2013-04-23,2013-04-30,2013-05-07,2013-05-14,2013-05-21,2013-05-28,2013-06-04,2013-06-11,2013-06-18,2013-06-25,2013-07-02,2013-07-09,2013-07-16,2013-07-23,2013-07-30,2013-08-06,2013-08-13,2013-08-20,2013-08-27,2013-09-03,2013-09-10,2013-09-17,2013-09-24,2013-10-01,2013-10-08,2013-10-15,2013-10-22,2013-10-29,2013-11-05,2013-11-12,2013-11-19,2013-11-26,2013-12-03,2013-12-10,2013-12-17,2013-12-24,2013-12-31
OCGT,AT,0.0,2.8192,2.8192,2.819200000161489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8192,0.0,0.0,0.0,0.0,0.0,0.0
OCGT,DE,0.0,22.8885365,22.8885365,20.684836500000003,0.0,14.114400621597106,22.8885365,10.85879595175989,19.797963364524268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.684836500000003,22.8885365,20.684836500000003,1.4883609760519103,20.684836499881936,0.0,0.0,0.0
OCGT,DK,0.0,0.5002,0.5002,0.0,0.0,0.0,0.5002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21034758595154016,0.5002,0.0,0.0,0.0,0.0,0.0,0.0
OCGT,FR,0.0,6.116,6.116,0.0,0.0,0.0,6.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.116,6.116,4.422798474276038,0.0,0.0,0.0,0.0,0.0
OCGT,GB,0.0,6.770065177829486,0.5051690228190614,0.0,0.0,0.0,0.0,6.993691570256006,11.794726109565996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9027922899744432,2.8539894657265874,0.0,0.0,0.0,0.0,0.0
OCGT,NL,0.0,5.099102066205524,9.1511,0.0,0.0,0.0,5.799616580401001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0423616430264175,0.0,0.0,0.0,0.0,0.0,0.0
OCGT,PL,0.0,0.0,2.125,2.125000000009263,0.0,0.0,2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7343376654338931,0.0,0.0,0.45493168797153466,0.0,0.0,0.0
OCGT,SE,0.0,1.091,1.091,0.0,0.0,0.0,1.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1579686542972922e-11,0.0,0.0,0.0,0.0,0.0,0.0
biomass,BE,0.268,0.268,0.268,0.268,0.0,0.268,0.268,0.268,0.268,0.0,0.268,0.0,0.268,0.268,0.0,0.0,0.268,0.268,0.0,0.268,0.0,0.0,0.268,0.0,0.0,0.0,0.268,0.0,0.2635549888382052,0.268,0.0,0.268,0.24584775385217233,0.268,0.268,0.268,0.0,0.17157883820286918,0.268,0.268,0.268,0.268,0.0,0.0,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.0,0.0
biomass,CH,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0,0.0860862,0.0,0.0860862,0.0860862,0.0860862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0860862,0.0,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0,0.0,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0,0.0
biomass,DE,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,4.68540773,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,3.442079851223887,8.004647826000001,1.4040745099999998,8.004647826000001,8.004647826000001,2.6073003,0.0,0.0,1.4168769017220844,0.0,0.0,2.111031986423482,0.0,0.0,0.0,0.0,0.0,0.0,0.3295904711182034,0.0,3.319240096,0.0,0.0,0.0,4.723314606,0.7774662347896174,3.7441161615369083,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,0.0,0.0,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,7.8795612404989095,3.5486660526022944,0.0
biomass,DK,0.05162862968114109,0.115,0.115,0.115,0.0,0.115,0.115,0.115,0.115,0.0,0.115,0.0,0.115,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.0,0.0,0.115,0.0,0.0,0.115,0.0,0.0,0.0,0.115,0.0,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.0,0.0,0.115,0.115,0.115,0.115,0.115,0.115,0.0,0.0,0.0
biomass,FR,0.77033545,0.77033545,0.77033545,0.77033545,0.0,0.77033545,0.77033545,0.77033545,0.77033545,0.320507385729343,0.77033545,0.0,0.77033545,0.77033545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77033545,0.77033545,0.0,0.0,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.0,0.0
biomass,GB,6.46742697465698,6.725599999999999,6.725599999999999,6.725599999999999,0.0,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,3.320418560935452,6.725599999999999,0.0,6.725599999999999,6.725599999999999,6.725599999999999,0.0,1.2935503808754878,4.700943692083051,0.0,6.725599999999999,0.0,6.725599999999999,6.725599999999999,4.764483285782083,6.725599999999999,4.713332647886903,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,0.05916747452389724,6.725599999999999,2.9125858884978983,6.725599999999999,1.595658549714513,6.725599999999999,5.039399454254101,6.725599999999999,6.725599999999999,3.530528662935966,6.725599999999999,6.725599999999999,0.0,0.929016344883094,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,0.0,0.0,0.0
biomass,LU,0.0073895,0.0073895,0.0073895,0.0073895,0.0,0.0073895,0.0073895,0.0073895,0.0073895,0.0,0.0073895,0.0,0.0073895,0.0073895,0.0,0.0,0.0,0.0073895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073895,0.0,0.0,0.0,0.0073895,0.0073895,0.0073895,0.0,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0,0.0,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0,0.0
coal,PL,0.0,0.0,0.021372946504967218,0.0,0.0,0.0,2.595412617277057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
