carrier,country,2013-01-01,2013-01-08,2013-01-15,2013-01-22,2013-01-29,2013-02-05,2013-02-12,2013-02-19,2013-02-26,2013-03-05,2013-03-12,2013-03-19,2013-03-26,2013-04-02,2013-04-09,2013-04-16,2013-04-23,2013-04-30,2013-05-07,2013-05-14,2013-05-21,2013-05-28,2013-06-04,2013-06-11,2013-06-18,2013-06-25,2013-07-02,2013-07-09,2013-07-16,2013-07-23,2013-07-30,2013-08-06,2013-08-13,2013-08-20,2013-08-27,2013-09-03,2013-09-10,2013-09-17,2013-09-24,2013-10-01,2013-10-08,2013-10-15,2013-10-22,2013-10-29,2013-11-05,2013-11-12,2013-11-19,2013-11-26,2013-12-03,2013-12-10,2013-12-17,2013-12-24,2013-12-31
OCGT,AT,0.0,2.8192,2.8192,2.8192,0.0,0.0,0.0,0.0,0.2512777036012768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8192,2.2456045451235416,2.8192,0.0,2.8192,0.0,0.0,0.0
OCGT,BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8520021647989944,0.0,1.700358096874734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7724602579165979,0.0,0.0,0.0,0.0,0.0,0.0
OCGT,DE,4.521263708611872,22.8885365,22.8885365,22.8885365,0.0,20.684836500000003,22.8885365,18.792324257674622,20.684836500000003,0.0,7.592351503693942,0.0,10.245136388803697,10.396346351772529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2274201524268396,0.0,4.481915691400362,11.809001075334457,6.0236022513721155,5.39547438841694,0.0,13.488726415800425,8.896792404573892,0.0,0.0,13.876989,22.8885365,22.8885365,22.8885365,15.517808393343849,22.47432835496592,3.8841099887363284,0.0,0.0
OCGT,DK,0.0,0.5002,0.5002,0.0,0.0,0.5002,0.5002,0.0,0.4346419681962998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3939646657885001,0.5002,0.18754557953670006,0.0,0.11314580463154943,0.0,0.0,0.0
OCGT,FR,0.0,6.116,6.116,6.116,0.0,1.6412493552693275,6.116,0.0,6.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.116,6.116,6.116,0.0,6.116,0.0,0.0,0.0
OCGT,GB,0.0,11.679870660340184,6.996966769424224,0.0,0.0,0.0,7.778377703274799,10.638627001374998,15.667961540694993,0.0,3.6449354311068993,0.0,3.0834386242615146,0.7954407700856011,0.0,0.0,0.0,0.0,0.0,0.8452464158764997,0.0,0.20922624504730153,2.612088411484205,0.0,0.0,0.0,0.0,1.633305835791197,1.8162589109754987,2.125582486345701,0.0,0.0,0.0,2.335041755731302,0.0,0.4015350118062055,0.0,0.0,1.4987390280880053,0.0,0.0,0.8067935612530048,0.0,0.0,0.5562442202280999,0.0,11.724937975724021,6.5350092886798805,0.0,0.0,0.0,0.0,0.0
OCGT,NL,0.0,9.1511,9.1511,0.0,0.0,0.0,9.1511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6914281617280875,0.0,1.6201384527645646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.30893142497533,9.1511,0.0,0.0,0.0,0.0,0.0,0.0
OCGT,PL,0.0,0.0,2.125,2.125,0.0,0.5292885699365145,2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05851367955874594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4277092521236277,2.125,0.0,0.0,1.5969098096465515,0.0,0.0,0.0
biomass,BE,0.268,0.268,0.268,0.268,0.0,0.268,0.268,0.268,0.268,0.268,0.268,0.0,0.268,0.268,0.268,0.0,0.268,0.268,0.0,0.268,0.0,0.0,0.268,0.0,0.0,0.0,0.268,0.268,0.268,0.268,0.0,0.268,0.036514282138258185,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.0,0.0,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.0,0.0
biomass,CH,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0,0.0860862,0.0860862,0.0860862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0860862,0.0,0.0,0.0,0.0,0.0,0.0,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0,0.0,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0,0.0
biomass,DE,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,4.772909453202093,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,7.512368626695041,8.004647826000001,4.417687997571878,8.004647826000001,8.004647826000001,8.004647826000001,0.0,1.5906980533486867,8.004647826000001,0.2954213573402385,3.6658398065828033,6.921190635,0.0,8.004647826000001,0.0,0.0,0.0,8.004647826000001,4.723314606,3.852136924067538,8.004647826000001,1.9055784258811517,7.915128306803932,5.910242765,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,0.0,6.456288903108337,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,6.6423299785939545,0.0
biomass,DK,0.115,0.115,0.115,0.115,0.0,0.115,0.115,0.115,0.115,0.0,0.115,0.0,0.115,0.115,0.115,0.0,0.0,0.115,0.0,0.115,0.02276081361139518,0.0,0.115,0.0,0.0,0.0,0.115,0.115,0.115,0.115,0.0,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.0,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.0
biomass,FR,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.0,0.77033545,0.77033545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77033545,0.77033545,0.77033545,0.77033545,0.0,0.0,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.0
biomass,GB,2.822491543526985,6.725599999999999,6.725599999999999,6.725600000006158,0.0,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.4521984625739055,6.725599999999999,0.0,6.725599999999999,6.725599999999999,6.725599999999999,0.0,0.0,1.5718876882026054,0.0,6.725599999999999,0.0,6.725599999999999,6.725599999999999,2.001481975274497,5.021271004975203,1.8659407500068006,4.053305082277906,6.725599999999999,6.725599999999999,6.725599999999999,0.22852424892451945,6.390903047276247,0.09247831254929731,6.725599999999999,0.0,6.725599999999999,4.2192918781944995,6.725599999999999,6.725599999999999,2.494078050803196,6.725599999999999,6.725599999999999,0.0,0.0,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,3.577472125224962,0.0,0.0,0.0
biomass,LU,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0,0.0073895,0.0073895,0.0073895,0.0,0.0073895,0.0073895,0.0073895,0.0073895,0.0,0.0,0.0073895,0.0,0.0,0.0,0.0073895,0.0073895,0.0073895,0.0073895,0.0,0.0073895,0.0,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0
coal,CZ,0.0,0.0,0.050706532611,0.050706532611,0.021203242753382028,0.0,0.050706532611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050706532611,0.0,0.0,0.0,0.0,0.0,0.0
coal,PL,0.0,0.0,0.87161044299075,0.6619470598746098,0.0,0.0,3.75992887289615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lignite,CZ,0.0,0.0,0.5388244561858444,0.48018843356456864,0.0,0.0,0.2048941566640708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lignite,DE,0.0,0.0,0.7161149532056307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,BE,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,0.0,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,3.4072559808852763,4.711524000000001,4.711524000000001,2.562281405639208,4.711524000000001,0.4481652352864686,1.5661783998533036,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,2.6541779766823614,4.659033343180643,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,0.0
nuclear,CH,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,0.047300069916668235,2.5019638997251064,0.778645971850995,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003
nuclear,FR,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,38.360429153609516,31.506871916590164,32.57992299701019,22.522536921231104,29.068380565977897,36.8226534444102,28.340427206864213,26.727115553233137,14.986573113855513,17.536432700940082,24.407734308780643,28.024223065788433,23.005752030199677,18.849383407643668,23.20536154487743,18.756125723729415,14.88849610309277,27.12563192955179,25.236788123063757,29.83608692799131,30.318147448981218,35.460977327320364,40.15404298526209,38.094368207852476,40.9741,40.9741,40.9741,40.9741,39.59804028060034,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,38.61987562421339
nuclear,GB,6.650528,6.650528,6.650528,6.650528,0.0,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,2.5895175341481265,6.650528,6.650528,6.650528,1.625177684801002,6.327973362111299,6.650528,2.331962379407398,6.650528,5.574114703464199,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,5.928318264853392,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,1.9718207879941279,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,4.108655167730106,3.805798125610583,0.0
nuclear,SE,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,6.3494587905413535
offwind-ac,BE,0.32036914471199995,0.258093493933,0.263290768748,0.317828467391,0.495624581825,0.401930597918,0.156700995676,0.43580298017400004,0.196391792216,0.281423422054,0.36664405811,0.346412905341,0.27622145138299997,0.393245096851,0.240474232817,0.270483981017,0.172639344382,0.191943296054,0.31875825297599997,0.181059870079,0.247203081474,0.22492149008,0.29881504061099995,0.268598132716,0.22786691097,0.15391528603899998,0.18305365717,0.137006647832,0.15952197972100002,0.119415376607,0.20842538262299998,0.142270123465,0.192280202067,0.0824693396517,0.162576679858,0.08058416189720001,0.281494593285,0.176103486778,0.181032992435,0.210003256523,0.22564709007199998,0.29092559084099995,0.342426823131,0.34167561963000004,0.276818704513,0.16787386313799998,0.307319617285,0.15299972318799998,0.28843532458800003,0.263455576556,0.355698677207,0.31814584388899997,0.38853718531099996
offwind-ac,DE,1.906489422089,1.3745275874032001,1.3894621751749998,1.5445210327510002,2.110965729541,1.1896450429179999,0.5793072792989001,2.122460049076,1.2599661062521,2.185071399135,1.280186211295,1.958912259701,1.352443980514,1.364395312269,1.178329883597,1.050205966882,1.0548952272240002,0.5822981393939,0.796295501968,0.9414855872149,0.9454914764058,1.42460146244,0.39293207276329994,0.9626737394289999,0.8029204300530001,1.2748226118069999,0.3569491588204,0.9957469508393999,0.6631432316566,0.3759006503272,0.7945352000265,0.9441221446760001,0.977766406413,0.8895704303916999,0.9379449732588,0.9520195106218,0.6813114046708999,0.9160002992449,0.6893480724526,1.109022958663,1.143993776412,1.0522365326699998,1.82217589577,1.731262660341,1.2978477166790001,1.1531207280629998,0.9895923233156,1.400011793738,1.592179365026,1.25606297623,1.679297692998,1.557399544801,1.877829264295
offwind-ac,DK,0.6792414921350001,0.526659840324,0.5345597555739999,0.631399301558,0.7529283384529999,0.508968937063,0.363616796164,0.666994540798,0.47466129973599996,0.75536417292,0.5449069041929999,0.801353426775,0.39605159967099995,0.35973629023799997,0.45087227356,0.462193052141,0.46223376208399997,0.3037017444406,0.40120240938900004,0.377204324953,0.381847105873,0.48405743362,0.2002780201793,0.43568761992500005,0.354299868403,0.5043843242920001,0.24909416149309999,0.42292409158,0.29896051110899996,0.1550761705288,0.34885836714,0.43109647313000005,0.46266433328,0.283786428037,0.406111689545,0.403109429766,0.3081954652859,0.33701205629700004,0.2488696701433,0.530485904665,0.47359693975199996,0.35280063544699997,0.656611076177,0.5873692725130001,0.46299631429399996,0.52316296146,0.3599291529659999,0.53094645922,0.548218072247,0.5678623662160001,0.6340306259619999,0.602381504654,0.689381444503
